time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.radiation_type,.field_of_view,.min_range,.max_range,.range
2021/01/19/15:46:13.961976,137,1611081973,929124032,/ultrasound_4,0,0.259999990463,20.0,600.0,49.0
2021/01/19/15:46:14.265470,138,1611081974,229124032,/ultrasound_4,0,0.259999990463,20.0,600.0,49.0
2021/01/19/15:46:14.564440,139,1611081974,529124032,/ultrasound_4,0,0.259999990463,20.0,600.0,49.0
2021/01/19/15:46:14.863518,140,1611081974,829124032,/ultrasound_4,0,0.259999990463,20.0,600.0,49.0
2021/01/19/15:46:15.162521,141,1611081975,129124032,/ultrasound_4,0,0.259999990463,20.0,600.0,49.0
2021/01/19/15:46:15.465690,142,1611081975,429124032,/ultrasound_4,0,0.259999990463,20.0,600.0,49.0
2021/01/19/15:46:15.764753,143,1611081975,729124032,/ultrasound_4,0,0.259999990463,20.0,600.0,49.0
2021/01/19/15:46:16.063848,144,1611081976,27402101,/ultrasound_4,0,0.259999990463,20.0,600.0,49.0
2021/01/19/15:46:16.362906,145,1611081976,327402101,/ultrasound_4,0,0.259999990463,20.0,600.0,49.0
2021/01/19/15:46:16.665986,146,1611081976,627402101,/ultrasound_4,0,0.259999990463,20.0,600.0,49.0
2021/01/19/15:46:16.965002,147,1611081976,927402101,/ultrasound_4,0,0.259999990463,20.0,600.0,49.0
2021/01/19/15:46:17.264022,148,1611081977,227402101,/ultrasound_4,0,0.259999990463,20.0,600.0,49.0
2021/01/19/15:46:17.563168,149,1611081977,527402101,/ultrasound_4,0,0.259999990463,20.0,600.0,49.0
2021/01/19/15:46:17.866261,150,1611081977,827402101,/ultrasound_4,0,0.259999990463,20.0,600.0,49.0
2021/01/19/15:46:18.165291,151,1611081978,127402101,/ultrasound_4,0,0.259999990463,20.0,600.0,49.0
2021/01/19/15:46:18.464277,152,1611081978,428402101,/ultrasound_4,0,0.259999990463,20.0,600.0,49.0
2021/01/19/15:46:18.763378,153,1611081978,728910026,/ultrasound_4,0,0.259999990463,20.0,600.0,49.0
2021/01/19/15:46:19.061878,154,1611081979,28910026,/ultrasound_4,0,0.259999990463,20.0,600.0,49.0
2021/01/19/15:46:19.365264,155,1611081979,328910026,/ultrasound_4,0,0.259999990463,20.0,600.0,49.0
2021/01/19/15:46:19.664522,156,1611081979,628910026,/ultrasound_4,0,0.259999990463,20.0,600.0,49.0
2021/01/19/15:46:19.963498,157,1611081979,928910026,/ultrasound_4,0,0.259999990463,20.0,600.0,49.0
2021/01/19/15:46:20.262681,158,1611081980,228910026,/ultrasound_4,0,0.259999990463,20.0,600.0,49.0
2021/01/19/15:46:20.565630,159,1611081980,528910026,/ultrasound_4,0,0.259999990463,20.0,600.0,49.0
2021/01/19/15:46:20.864874,160,1611081980,828910026,/ultrasound_4,0,0.259999990463,20.0,600.0,49.0
2021/01/19/15:46:21.163840,161,1611081981,130447038,/ultrasound_4,0,0.259999990463,20.0,600.0,49.0
2021/01/19/15:46:21.462954,162,1611081981,430447038,/ultrasound_4,0,0.259999990463,20.0,600.0,49.0
2021/01/19/15:46:21.762062,163,1611081981,730447038,/ultrasound_4,0,0.259999990463,20.0,600.0,49.0
2021/01/19/15:46:22.065082,164,1611081982,30447038,/ultrasound_4,0,0.259999990463,20.0,600.0,49.0
2021/01/19/15:46:22.364064,165,1611081982,330447038,/ultrasound_4,0,0.259999990463,20.0,600.0,49.0
2021/01/19/15:46:22.662989,166,1611081982,630447038,/ultrasound_4,0,0.259999990463,20.0,600.0,49.0
2021/01/19/15:46:22.962320,167,1611081982,930447038,/ultrasound_4,0,0.259999990463,20.0,600.0,49.0
2021/01/19/15:46:23.265358,168,1611081983,230447038,/ultrasound_4,0,0.259999990463,20.0,600.0,49.0
2021/01/19/15:46:23.564281,169,1611081983,528323060,/ultrasound_4,0,0.259999990463,20.0,600.0,49.0
2021/01/19/15:46:23.863445,170,1611081983,828323060,/ultrasound_4,0,0.259999990463,20.0,600.0,49.0
2021/01/19/15:46:24.162550,171,1611081984,128323060,/ultrasound_4,0,0.259999990463,20.0,600.0,49.0
